,S,Length
897,saturnist,9
898,satyr,5
899,satyriasis,10
900,satyric,7
901,satyrical,9
902,satyrion,8
903,sauce,5
904,sauced,6
905,saucing,7
906,saucebox,8
907,saucepan,8
908,saucer,6
909,saucily,7
910,sauciness,9
911,saucisson,9
912,saucisse,8
913,saucy,5
914,sauerkraut,10
915,sauf,4
916,saufly,6
917,sauger,6
918,saugh,5
919,sauh,4
920,sauks,5
921,saul,4
922,saulie,6
923,sault,5
924,saunders,8
925,sauntered,9
926,sauntering,10
927,saunter,7
928,saunterer,9
929,saur,4
930,saurel,6
931,sauria,6
932,saurian,7
933,saurioid,8
934,saurobatrachia,14
935,saurognathous,13
936,sauroid,7
937,sauroidichnite,14
938,sauropoda,9
939,sauropsida,10
940,sauropterygia,13
941,saururae,8
942,sauries,7
943,saury,5
944,sausage,7
945,sauseflem,9
946,saussurite,10
947,saut,4
948,saute,5
949,sauter,6
950,sauterelle,10
951,sauterne,8
952,sautrie,7
953,sauvegarde,10
954,savable,7
955,savableness,11
956,savacioun,9
957,savage,6
958,savagely,8
959,savageness,10
960,savagery,8
961,savagism,8
962,savanilla,9
963,savanna,7
964,savants,7
965,savant,6
966,save,4
967,saved,5
968,saving,6
969,saveable,8
970,saveloy,7
971,savely,6
972,savement,8
973,saver,5
974,savin,5
975,savine,6
976,savingly,8
977,savingness,10
978,savior,6
979,savioress,9
980,savor,5
981,savored,7
982,savoring,8
983,savorily,8
984,savoriness,10
985,savorless,9
986,savorly,7
987,savorous,8
988,savory,6
989,savoy,5
990,savoyard,8
991,saw,3
992,sawed,5
993,sawn,4
994,sawing,6
995,sawbelly,8
996,sawbill,7
997,sawbones,8
998,sawbuck,7
999,sawceflem,9
1000,sawder,6
1001,sawdust,7
1002,sawer,5
1003,sawfish,7
1004,sawfly,6
1005,sawhorse,8
1006,sawmill,7
1007,sawneb,6
1008,sawtooth,8
1009,sawtry,6
1010,sawyer,6
1011,sax,3
1012,saxatile,8
1013,saxhorn,7
1014,saxicavas,9
1015,saxicavae,9
1016,saxicava,8
1017,saxicavid,9
1018,saxicavous,10
1019,saxicoline,10
1020,saxicolous,10
1021,saxifraga,9
1022,saxifragaceous,14
1023,saxifragant,11
1024,saxifrage,9
1025,saxifragous,11
1026,saxon,5
1027,saxonic,7
1028,saxonism,8
1029,saxonist,8
1030,saxonite,8
1031,saxophone,9
1032,say,3
1033,saying,6
1034,sayer,5
1035,sayette,7
1036,sayman,6
1037,saymaster,9
1038,saynd,5
1039,scab,4
1040,scabbed,7
1041,scabbing,8
1042,scabbard,8
1043,scabbedness,11
1044,scabbily,8
1045,scabbiness,10
1046,scabble,7
1047,scabby,6
1048,scabies,7
1049,scabious,8
1050,scabling,8
1051,scabredity,10
1052,scabrous,8
1053,scabrousness,12
1054,scabwort,8
1055,scad,4
1056,scaffold,8
1057,scaffoldage,11
1058,scaffolding,11
1059,scaglia,7
1060,scagliola,9
1061,scalae,6
1062,scala,5
1063,scalable,8
1064,scalade,7
1065,scalado,7
1066,scalar,6
1067,scalaria,8
1068,scalariform,11
1069,scalary,7
1070,scalawag,8
1071,scalded,7
1072,scalding,8
1073,scald,5
1074,scalder,7
1075,scaldfish,9
1076,scaldic,7
1077,scale,5
1078,scaled,6
1079,scaling,7
1080,scaleback,9
1081,scalebeam,9
1082,scaleboard,10
1083,scaleless,9
1084,scalene,7
1085,scalenohedral,13
1086,scalenohedron,13
1087,scaler,6
1088,scaliness,9
1089,scaliola,8
1090,scall,5
1091,scalled,7
1092,scallion,8
1093,scallop,7
1094,scalloped,9
1095,scalloping,10
1096,scalloper,9
1097,scalp,5
1098,scalped,7
1099,scalping,8
1100,scalpel,7
1101,scalper,7
1102,scalpriform,11
1103,scaly,5
1104,scambled,8
1105,scambling,9
1106,scamble,7
1107,scambler,8
1108,scamblingly,11
1109,scamell,7
1110,scammel,7
1111,scamilli,8
1112,scamillus,9
